Name, MatchCount, Wins, Aces, TotalSpeed, DoubleFault, TotalPoints,
Juan Carlos Ferrero, 21, 13, 142, 124.0, 2, 106.47619047619048
Juan Ignacio Chela, 18, 10, 56, 95.41666666666667, 2, 108.77777777777777
Juan Martin Del Potro, 25, 17, 283, 149.54, 3, 112.8
Juan Monaco, 16, 6, 54, 129.90625, 3, 115.4375
Juan-Antonio Marin, 1, 0, 0, 0.0, 1, 73.0
Juan-Pablo Brzezicki, 1, 0, 7, 0.0, 4, 135.0
Julian Reister, 2, 0, 6, 0.0, 7, 100.5
Julien Benneteau, 16, 8, 113, 79.34375, 5, 112.6875
Jurgen Melzer, 23, 13, 134, 70.3913043478261, 3, 91.3913043478261
Jurgen Zopp, 1, 0, 6, 161.0, 4, 72.0
Justin Gimelstob, 2, 0, 18, 81.0, 7, 86.5
Karol Beck, 7, 3, 71, 115.28571428571429, 7, 109.85714285714286
Karol Kucera, 2, 1, 12, 80.5, 10, 92.5
Kei Nishikori, 17, 12, 63, 155.02941176470588, 3, 111.70588235294117
Kenneth Carlsen, 3, 0, 17, 57.0, 6, 86.0
Kenny de Schepper, 3, 1, 32, 111.0, 10, 83.66666666666667
Kevin Anderson, 15, 8, 209, 106.5, 4, 118.0
Kevin Kim, 6, 3, 42, 104.25, 5, 109.33333333333333
Konstantinos Economidis, 1, 0, 2, 165.5, 4, 74.0
Kristian Pless, 1, 0, 6, 0.0, 4, 98.0
Kristof Vliegen, 8, 3, 72, 38.375, 3, 98.125
Lamine Ouahab, 1, 0, 0, 0.0, 4, 51.0
Lars Burgsmuller, 4, 1, 20, 39.75, 5, 91.5
Leonardo Mayer, 6, 1, 42, 61.0, 5, 70.66666666666667
Lleyton Hewitt, 32, 21, 314, 145.421875, 5, 119.21875
Louk Sorensen, 2, 1, 17, 78.75, 4, 104.5
Lucas Pouille, 1, 0, 2, 0.0, 10, 126.0
Luis Horna, 7, 2, 57, 66.85714285714286, 4, 100.28571428571429
Lukas Dlouhy, 4, 1, 44, 41.75, 6, 135.75
Lukas Lacko, 11, 4, 98, 90.13636363636364, 3, 96.18181818181819
Lukas Rosol, 4, 1, 40, 0.0, 6, 96.25
Lukasz Kubot, 8, 3, 57, 85.75, 8, 119.5
Luke Saville, 1, 0, 8, 163.0, 7, 108.0
Marat Safin, 22, 18, 337, 150.47727272727272, 2, 127.36363636363636
Marc Gicquel, 8, 4, 71, 63.9375, 3, 116.75
Marc Kimmich, 2, 0, 13, 83.5, 4, 85.5
Marcel Granollers, 11, 4, 86, 73.45454545454545, 4, 102.18181818181819
Marco Chiudinelli, 3, 1, 14, 110.33333333333333, 3, 125.33333333333333
Marco Crugnola, 1, 0, 0, 163.5, 9, 58.0
Marcos Baghdatis, 32, 22, 310, 141.78125, 3, 120.09375
Marcos Daniel, 4, 0, 12, 38.375, 5, 48.75
Mardy Fish, 19, 11, 225, 96.28947368421052, 4, 109.15789473684211
Mariano Zabaleta, 4, 1, 26, 169.625, 7, 90.25
Marin Cilic, 24, 17, 310, 132.54166666666666, 4, 122.5
Marinko Matosevic, 5, 0, 36, 159.8, 7, 109.8
Mario Ancic, 16, 11, 159, 94.3125, 3, 113.75
Mark Philippoussis, 5, 3, 56, 170.5, 5, 99.0
Marsel Ilhan, 3, 1, 16, 53.833333333333336, 2, 92.33333333333333
Martin Klizan, 4, 2, 44, 82.375, 3, 93.5
Martin Slanar, 1, 0, 3, 0.0, 4, 79.0
Martin Vassallo Arguello, 4, 0, 11, 38.5, 4, 82.75
